timestamp,ema50_dist_eth_usd_6h,ema200_dist_eth_usd_6h,upper_bb_dist_eth_usd_6h,lower_bb_dist_eth_usd_6h,width_bb_eth_usd_6h,rsi_eth_usd_6h,stoch_rsi_fastk_eth_usd_6h,stoch_rsi_fastd_eth_usd_6h,kijun_dist_eth_usd_6h,tenkan_dist_eth_usd_6h
2018-06-06 20:00:00,,,,,,,,,-80.99,-80.82
2018-06-07 02:00:00,,,,,,,,,-81.11,-80.93
2018-06-07 08:00:00,,,,,,,,,-81.02,-80.84
2018-06-07 14:00:00,,,,,,,,,-81.01,-80.84
2018-06-07 20:00:00,,,,,,,,,-80.95,-80.78
2018-06-08 02:00:00,,,,,,,,,-80.89,-80.72
2018-06-08 08:00:00,,,,,,,,,-80.67,-80.5
2018-06-08 14:00:00,,,,,,,,,-80.79,-80.61
2018-06-08 20:00:00,,,,,,,,,-80.78,-80.6
2018-06-09 02:00:00,,,,,,,,,-80.99,-80.82
2018-06-09 08:00:00,,,,,,,,,-80.97,-80.79
2018-06-09 14:00:00,,,,,,,,,-80.71,-80.54
2018-06-09 20:00:00,,,,,,,,,-80.56,-80.38
2018-06-10 02:00:00,,,,,,,,,-79.86,-79.67
2018-06-10 08:00:00,,,,,,20.54,,,-79.62,-79.44
2018-06-10 14:00:00,,,,,,13.72,,,-78.41,-78.21
2018-06-10 20:00:00,,,,,,12.26,,,-77.97,-77.77
2018-06-11 02:00:00,,,,,,18.36,,,-78.26,-78.06
2018-06-11 08:00:00,,,,,,21.07,,,-78.39,-78.19
2018-06-11 14:00:00,,,24.89,-0.36,22.49,17.83,,,-77.71,-77.51
2018-06-11 20:00:00,,,21.5,-4.01,23.46,27.68,100.0,87.73,-78.27,-78.07
2018-06-12 02:00:00,,,21.09,-4.88,24.02,27.53,98.45,87.21,-78.25,-78.05
2018-06-12 08:00:00,,,20.12,-5.92,24.32,28.59,100.0,99.48,-78.31,-78.11
2018-06-12 14:00:00,,,23.34,-4.12,25.05,24.2,59.24,85.9,-77.62,-77.41
2018-06-12 20:00:00,,,28.21,-1.92,26.63,19.97,0.0,53.08,-76.67,-76.45
2018-06-13 02:00:00,,,28.07,-3.19,27.8,19.65,0.0,19.75,-76.58,-76.36
2018-06-13 08:00:00,,,32.24,-1.98,29.72,16.95,0.0,0.0,-75.75,-75.53
2018-06-13 14:00:00,,,31.8,-3.46,30.88,16.72,0.0,0.0,-75.67,-75.45
2018-06-13 20:00:00,,,29.94,-5.18,31.26,18.3,48.51,16.17,-75.78,-75.56
2018-06-14 02:00:00,,,25.35,-7.39,30.04,25.18,100.0,49.5,-76.24,-76.02
2018-06-14 08:00:00,,,22.24,-7.71,27.92,26.78,100.0,82.84,-76.35,-76.13
2018-06-14 14:00:00,,,13.85,-11.34,24.87,41.64,100.0,100.0,-77.49,-77.29
2018-06-14 20:00:00,,,9.65,-11.44,21.28,45.23,100.0,100.0,-77.82,-77.61
2018-06-15 02:00:00,,,10.79,-8.27,18.82,40.09,74.33,91.44,-77.18,-76.97
2018-06-15 08:00:00,,,10.91,-5.89,16.39,37.05,55.66,76.66,-76.74,-76.53
2018-06-15 14:00:00,,,8.94,-7.0,15.79,40.09,37.14,55.71,-77.02,-76.81
2018-06-15 20:00:00,,,11.84,-4.61,15.87,35.59,0.0,30.93,-76.33,-76.11
2018-06-16 02:00:00,,,8.84,-6.59,15.26,40.7,100.0,45.71,-76.83,-76.61
2018-06-16 08:00:00,,,7.97,-6.43,14.29,40.69,99.8,66.6,-76.82,-76.61
2018-06-16 14:00:00,,,7.02,-6.99,14.01,42.17,100.0,99.93,-76.96,-76.75
2018-06-16 20:00:00,,,6.86,-6.1,12.92,40.85,79.84,93.22,-76.8,-76.58
2018-06-17 02:00:00,,,4.72,-6.8,11.63,43.98,100.0,93.28,-77.06,-76.85
2018-06-17 08:00:00,,,3.92,-5.85,9.86,43.14,74.62,84.82,-76.97,-76.76
2018-06-17 14:00:00,,,3.81,-5.35,9.24,42.35,48.01,74.21,-76.89,-76.68
2018-06-17 20:00:00,,,4.25,-4.96,9.24,41.45,19.42,47.35,-76.8,-76.59
2018-06-18 02:00:00,,,4.99,-4.27,9.23,39.84,0.0,22.48,-76.64,-76.42
2018-06-18 08:00:00,,,4.96,-3.58,8.48,39.48,0.0,6.47,-76.6,-76.39
2018-06-18 14:00:00,,,0.19,-7.72,8.22,54.26,100.0,33.33,-77.73,-77.53
2018-06-18 20:00:00,,,0.44,-7.06,7.75,54.1,98.89,66.3,-77.72,-77.52
2018-06-19 02:00:00,3.22,,0.91,-6.57,7.7,53.54,95.09,97.99,-77.68,-77.48
2018-06-19 08:00:00,-0.13,,-1.31,-9.81,9.0,61.55,100.0,97.99,-78.41,-78.21
2018-06-19 14:00:00,0.35,,-0.13,-9.69,10.05,59.86,78.9,91.33,-78.3,-78.1
2018-06-19 20:00:00,-0.92,,-0.66,-11.29,11.3,62.79,100.0,92.97,-78.58,-78.39
2018-06-20 02:00:00,2.7,,3.31,-7.92,11.49,51.52,0.0,59.63,-77.78,-77.57
2018-06-20 08:00:00,1.72,,2.73,-8.55,11.62,53.66,18.94,39.65,-77.97,-77.77
2018-06-20 14:00:00,-0.56,,1.12,-10.69,12.41,58.73,63.98,27.64,-78.47,-78.27
2018-06-20 20:00:00,-0.64,,1.49,-10.36,12.41,58.97,66.11,49.67,-78.49,-78.3
2018-06-21 02:00:00,-1.45,,1.29,-11.03,12.95,60.91,100.0,76.69,-78.68,-78.49
2018-06-21 08:00:00,-0.46,,2.69,-9.84,13.0,57.63,54.77,73.63,-78.47,-78.27
2018-06-21 14:00:00,1.62,,5.0,-7.54,12.71,51.3,0.0,51.59,-78.01,-77.81
2018-06-21 20:00:00,1.24,,4.7,-7.33,12.19,52.16,8.92,21.23,-78.08,-77.88
2018-06-22 02:00:00,3.48,,7.12,-4.89,11.87,46.0,0.0,2.97,-77.56,-77.36
2018-06-22 08:00:00,8.97,,13.51,-0.12,12.78,35.67,0.0,2.97,-76.29,-76.08
2018-06-22 14:00:00,11.78,,17.7,1.57,14.72,31.69,0.0,0.0,-75.58,-75.35
2018-06-22 20:00:00,13.75,,21.36,2.1,17.24,29.14,0.0,0.0,-75.03,-74.8
2018-06-23 02:00:00,12.82,,21.63,0.39,19.13,30.08,5.62,1.87,-75.11,-74.88
2018-06-23 08:00:00,10.23,,19.61,-2.29,20.15,35.3,94.29,33.31,-75.59,-75.37
2018-06-23 14:00:00,9.63,,19.5,-3.54,21.33,35.81,100.0,66.64,-75.64,-75.42
2018-06-23 20:00:00,9.24,,19.5,-4.5,22.33,35.84,100.0,98.1,-75.64,-75.42
2018-06-24 02:00:00,15.12,,27.16,-0.93,24.84,28.23,0.0,66.67,-74.19,-73.96
2018-06-24 08:00:00,16.19,,29.05,-1.56,26.91,26.72,0.0,33.33,-73.81,-73.57
2018-06-24 14:00:00,11.94,,24.31,-5.86,27.63,35.09,91.75,30.58,-74.65,-74.42
2018-06-24 20:00:00,11.4,,23.21,-6.73,27.66,35.26,93.65,61.8,-74.67,-74.44
2018-06-25 02:00:00,12.53,,24.57,-6.47,28.47,33.28,76.82,87.41,-74.3,-74.06
2018-06-25 08:00:00,8.32,,19.42,-10.09,28.2,41.78,100.0,90.16,-75.18,-74.95
2018-06-25 14:00:00,8.15,,18.13,-10.02,27.05,41.52,96.94,91.25,-75.14,-74.91
2018-06-25 20:00:00,8.96,,17.67,-9.0,25.56,39.71,75.67,90.87,-74.87,-74.64
2018-06-26 02:00:00,8.27,,14.98,-8.72,22.98,40.54,85.4,86.0,-74.95,-74.72
2018-06-26 08:00:00,10.74,,15.63,-5.78,20.4,36.17,0.0,53.69,-74.28,-74.05
2018-06-26 14:00:00,11.0,,14.2,-4.76,18.11,35.2,0.0,28.47,-74.12,-73.88
2018-06-26 20:00:00,14.61,,15.82,-0.71,15.37,30.23,0.0,0.0,-73.14,-72.89
2018-06-27 02:00:00,13.1,,12.29,-0.88,12.46,32.55,22.51,7.5,-73.37,-73.12
2018-06-27 08:00:00,12.28,,11.03,-1.42,11.87,33.34,52.4,24.97,-73.44,-73.2
2018-06-27 14:00:00,11.87,,10.72,-1.86,12.05,33.25,60.74,45.21,-73.42,-73.18
2018-06-27 20:00:00,9.53,,8.6,-3.84,12.14,38.52,100.0,71.04,-73.89,-73.65
2018-06-28 02:00:00,10.91,,10.2,-2.68,12.42,35.66,52.07,70.94,-73.45,-73.21
2018-06-28 08:00:00,10.09,,9.1,-3.19,11.94,36.79,67.12,73.06,-73.55,-73.31
2018-06-28 14:00:00,9.44,,7.96,-3.37,11.07,37.53,81.32,66.84,-73.61,-73.37
2018-06-28 20:00:00,13.14,,11.36,-0.12,10.87,31.25,0.0,49.48,-72.59,-72.34
2018-06-29 02:00:00,13.33,,12.36,-0.42,12.06,30.32,0.0,27.11,-72.41,-72.16
2018-06-29 08:00:00,14.87,,14.98,0.22,13.72,27.82,0.0,-0.0,-71.89,-71.63
2018-06-29 14:00:00,13.72,,14.33,-1.25,14.62,29.51,17.39,5.8,-72.03,-71.78
2018-06-29 20:00:00,7.34,,7.8,-6.57,14.28,44.98,100.0,39.13,-73.53,-73.29
2018-06-30 02:00:00,3.31,,3.99,-9.97,14.39,52.82,100.0,72.46,-74.49,-74.26
2018-06-30 08:00:00,2.85,,3.18,-10.07,13.72,53.48,100.0,100.0,-74.58,-74.34
2018-06-30 14:00:00,4.51,,4.34,-8.17,12.75,49.54,83.56,94.52,-74.12,-73.88
2018-06-30 20:00:00,2.51,,2.23,-9.73,12.42,53.36,98.55,94.04,-74.59,-74.36
2018-07-01 02:00:00,2.31,,1.84,-9.68,11.99,53.57,100.0,94.04,-74.62,-74.38
2018-07-01 08:00:00,2.17,,2.01,-9.81,12.3,53.67,100.0,99.52,-74.63,-74.39
2018-07-01 14:00:00,3.13,,3.22,-8.87,12.44,50.9,32.95,77.65,-74.36,-74.12
2018-07-01 20:00:00,2.51,,3.06,-9.2,12.64,52.17,45.88,59.61,-74.49,-74.25
2018-07-02 02:00:00,3.67,,4.55,-7.91,12.67,48.78,0.0,26.28,-74.16,-73.92
2018-07-02 08:00:00,2.47,,3.72,-8.79,12.84,51.62,57.97,34.61,-74.43,-74.2
2018-07-02 14:00:00,-2.1,,0.1,-13.22,14.26,61.85,100.0,52.66,-75.6,-75.37
2018-07-02 20:00:00,-2.85,,0.33,-14.36,15.8,63.48,100.0,85.99,-75.81,-75.59
2018-07-03 02:00:00,-3.36,,0.8,-15.12,17.14,64.72,100.0,100.0,-75.97,-75.75
2018-07-03 08:00:00,-1.76,,3.09,-13.69,17.72,59.64,61.2,87.07,-75.59,-75.37
2018-07-03 14:00:00,-0.55,,4.78,-12.45,17.91,56.06,0.0,53.73,-75.3,-75.07
2018-07-03 20:00:00,0.48,,5.93,-10.69,17.03,53.12,0.0,20.4,-75.04,-74.81
2018-07-04 02:00:00,1.08,,6.4,-9.02,15.63,51.36,0.0,-0.0,-74.88,-74.65
2018-07-04 08:00:00,-0.41,,4.22,-8.58,13.09,55.13,45.52,15.17,-75.25,-75.02
2018-07-04 14:00:00,-1.95,,1.77,-8.02,10.1,58.95,100.0,48.51,-75.65,-75.43
2018-07-04 20:00:00,-0.62,,2.97,-5.95,9.05,54.88,46.34,63.96,-75.33,-75.1
2018-07-05 02:00:00,-1.34,,2.39,-6.51,9.08,56.78,71.47,72.6,-75.52,-75.3
2018-07-05 08:00:00,-1.52,,2.38,-6.57,9.14,57.38,61.49,59.77,-75.58,-75.36
2018-07-05 14:00:00,-0.55,,3.31,-5.15,8.53,54.2,0.0,44.32,-75.35,-75.12
2018-07-05 20:00:00,-0.47,,3.42,-4.85,8.33,53.99,0.0,20.5,-75.33,-75.11
2018-07-06 02:00:00,0.5,,4.43,-3.7,8.1,50.69,0.0,-0.0,-75.09,-74.86
2018-07-06 08:00:00,0.49,,4.41,-3.48,7.85,50.66,0.0,-0.0,-75.09,-74.86
2018-07-06 14:00:00,-1.35,,2.42,-4.81,7.32,56.63,100.0,33.33,-75.56,-75.33
2018-07-06 20:00:00,-1.01,,2.67,-4.07,6.79,55.47,80.66,60.22,-75.48,-75.26
2018-07-07 02:00:00,-1.01,,2.22,-3.18,5.43,55.59,82.62,87.76,-75.49,-75.27
2018-07-07 08:00:00,-0.89,,1.93,-2.32,4.26,55.24,76.78,80.02,-75.47,-75.25
2018-07-07 14:00:00,0.08,,2.86,-1.43,4.26,51.06,0.0,53.13,-75.23,-75.0
2018-07-07 20:00:00,-4.1,,-1.05,-6.08,5.21,64.4,100.0,58.93,-76.31,-76.09
2018-07-08 02:00:00,-3.42,,-0.29,-5.68,5.55,62.07,82.57,60.86,-76.17,-75.95
2018-07-08 08:00:00,-3.67,,-0.19,-6.29,6.31,63.12,90.41,90.99,-76.27,-76.05
2018-07-08 14:00:00,-4.32,,-0.35,-7.32,7.25,65.33,100.0,90.99,-76.47,-76.26
2018-07-08 20:00:00,-3.37,,0.86,-6.41,7.47,61.47,0.0,63.47,-76.28,-76.06
2018-07-09 02:00:00,-2.07,,2.16,-4.83,7.09,56.22,0.0,33.33,-75.98,-75.76
2018-07-09 08:00:00,-2.46,,1.83,-5.14,7.09,57.77,17.02,5.67,-76.1,-75.88
2018-07-09 14:00:00,-1.1,,3.23,-3.84,7.09,52.44,0.0,5.67,-75.77,-75.55
2018-07-09 20:00:00,-0.15,,4.21,-2.82,6.98,49.03,0.0,5.67,-75.54,-75.32
2018-07-10 02:00:00,2.51,,7.25,-0.56,7.56,40.93,0.0,-0.0,-74.87,-74.64
2018-07-10 08:00:00,7.9,,14.39,2.94,10.54,30.57,0.0,-0.0,-73.47,-73.22
2018-07-10 14:00:00,7.57,,15.12,1.41,12.66,30.63,0.29,0.1,-73.47,-73.23
2018-07-10 20:00:00,7.82,,16.33,0.54,14.56,29.81,0.0,0.1,-73.33,-73.09
2018-07-11 02:00:00,7.71,,17.03,-0.47,16.16,29.49,0.0,0.1,-73.28,-73.03
2018-07-11 08:00:00,4.64,,13.99,-3.66,16.79,39.25,100.0,33.33,-73.99,-73.76
2018-07-11 14:00:00,5.81,,15.55,-3.18,17.64,36.56,72.39,57.46,-73.65,-73.4
2018-07-11 20:00:00,3.86,,13.48,-5.28,18.02,42.06,100.0,90.8,-74.09,-73.85
2018-07-12 02:00:00,5.01,,14.86,-4.65,18.57,39.27,77.82,83.4,-73.75,-73.51
2018-07-12 08:00:00,7.2,,17.59,-3.35,19.55,34.86,0.0,59.27,-73.13,-72.89
2018-07-12 14:00:00,6.62,,17.23,-4.43,20.36,35.82,13.37,30.4,-73.21,-72.97
2018-07-12 20:00:00,6.24,,16.32,-5.07,20.25,36.22,18.96,10.78,-73.24,-73.0
2018-07-13 02:00:00,4.66,,13.95,-6.55,19.77,40.81,100.0,44.11,-73.59,-73.35
2018-07-13 08:00:00,4.27,,12.66,-6.78,18.89,41.5,100.0,72.99,-73.65,-73.4
2018-07-13 14:00:00,4.31,,11.41,-6.34,17.31,40.97,90.67,96.89,-73.59,-73.35
2018-07-13 20:00:00,5.19,,11.1,-5.12,15.75,38.31,39.6,76.76,-73.31,-73.07
2018-07-14 02:00:00,4.91,,9.65,-4.93,14.24,38.63,10.07,46.78,-73.34,-73.09
2018-07-14 08:00:00,4.83,,7.91,-4.12,11.8,38.32,0.16,16.61,-73.31,-73.06
2018-07-14 14:00:00,3.61,,5.01,-4.21,9.18,42.83,100.0,36.75,-73.58,-73.34
2018-07-14 20:00:00,4.16,,3.68,-2.38,6.02,40.69,52.64,50.94,-73.4,-73.15
2018-07-15 02:00:00,3.33,,1.59,-2.13,3.73,43.61,100.0,84.21,-73.57,-73.33
2018-07-15 08:00:00,0.79,,-0.4,-4.72,4.44,53.02,100.0,84.21,-74.22,-73.98
2018-07-15 14:00:00,0.13,,-0.47,-5.57,5.27,55.19,100.0,100.0,-74.38,-74.15
2018-07-15 20:00:00,0.18,,0.06,-5.58,5.8,54.92,98.14,99.38,-74.37,-74.13
2018-07-16 02:00:00,0.45,,0.66,-5.25,6.05,53.66,86.79,94.98,-74.29,-74.06
2018-07-16 08:00:00,-4.7,,-2.88,-11.46,9.25,68.75,100.0,94.98,-75.66,-75.44
2018-07-16 14:00:00,-5.3,,-2.06,-13.03,11.86,70.43,100.0,95.6,-75.87,-75.65
2018-07-16 20:00:00,-5.32,,-0.99,-13.85,13.9,70.92,100.0,100.0,-75.93,-75.71
2018-07-17 02:00:00,-3.81,,1.28,-12.77,14.91,64.39,62.14,87.38,-75.58,-75.36
2018-07-17 08:00:00,-2.53,,3.0,-11.39,15.03,59.42,0.0,54.05,-75.29,-75.06
2018-07-17 14:00:00,-8.18,,-1.54,-17.28,17.38,71.92,100.0,54.05,-76.8,-76.59
2018-07-17 20:00:00,-8.2,,-0.38,-17.77,19.13,72.5,100.0,66.67,-76.89,-76.68
2018-07-18 02:00:00,-8.75,,0.18,-18.79,20.92,73.99,100.0,100.0,-77.12,-76.91
2018-07-18 08:00:00,-7.32,,2.47,-17.63,21.75,69.01,65.88,88.63,-76.84,-76.63
2018-07-18 14:00:00,-6.65,,3.73,-16.9,22.08,67.32,0.0,55.29,-76.74,-76.53
2018-07-18 20:00:00,-3.24,,7.52,-13.15,21.27,55.77,0.0,21.96,-75.92,-75.7
2018-07-19 02:00:00,-2.38,,8.35,-11.54,20.21,53.55,0.0,-0.0,-75.73,-75.51
2018-07-19 08:00:00,-3.27,,7.15,-11.42,18.97,56.08,16.36,5.45,-75.99,-75.77
2018-07-19 14:00:00,-0.72,,9.7,-8.19,17.76,49.14,0.0,5.45,-75.36,-75.14
2018-07-19 20:00:00,-0.81,,9.14,-7.12,16.1,49.46,4.53,6.97,-75.39,-75.17
2018-07-20 02:00:00,1.11,,10.85,-4.31,14.67,44.69,0.0,1.51,-74.9,-74.67
2018-07-20 08:00:00,-0.07,,9.31,-4.82,13.82,47.93,28.44,10.99,-75.2,-74.97
2018-07-20 14:00:00,3.29,,13.16,-1.53,13.88,40.57,0.0,9.48,-74.33,-74.09
2018-07-20 20:00:00,3.19,,13.2,-1.54,13.93,40.52,0.0,9.48,-74.32,-74.09
2018-07-21 02:00:00,0.85,,10.48,-3.31,13.31,46.71,83.58,27.86,-74.9,-74.67
2018-07-21 08:00:00,1.32,,11.1,-3.21,13.78,45.52,67.44,50.34,-74.76,-74.53
2018-07-21 14:00:00,-0.2,,9.35,-4.89,13.93,49.56,100.0,83.67,-75.15,-74.92
2018-07-21 20:00:00,0.49,,10.02,-4.51,14.14,47.78,80.33,82.59,-74.97,-74.74
2018-07-22 02:00:00,-0.24,,9.17,-5.36,14.25,49.81,100.0,93.44,-75.15,-74.93
2018-07-22 08:00:00,-0.24,,9.16,-5.41,14.3,49.83,100.0,93.44,-75.16,-74.93
2018-07-22 14:00:00,-0.14,,8.53,-5.32,13.63,49.54,85.98,95.33,-75.13,-74.9
2018-07-22 20:00:00,1.07,,8.96,-4.09,12.74,45.81,0.0,61.99,-74.82,-74.59
2018-07-23 02:00:00,-0.75,,5.56,-5.25,10.8,51.64,100.0,61.99,-75.28,-75.05
2018-07-23 08:00:00,0.31,,5.4,-3.71,9.03,48.38,43.95,47.98,-75.01,-74.78
2018-07-23 14:00:00,2.35,,6.17,-1.17,7.16,42.77,0.0,47.98,-74.48,-74.25
2018-07-23 20:00:00,2.77,,6.26,-0.84,6.91,41.5,0.0,14.65,-74.35,-74.11
2018-07-24 02:00:00,-0.11,,2.88,-3.5,6.39,50.28,86.54,28.85,-75.07,-74.84
2018-07-24 08:00:00,-2.71,,-0.2,-5.92,5.9,57.14,100.0,62.18,-75.75,-75.52
2018-07-24 14:00:00,-2.58,,0.13,-6.05,6.37,57.05,99.45,95.33,-75.74,-75.52
2018-07-24 20:00:00,-3.25,,-0.23,-7.07,7.1,59.07,100.0,99.82,-75.94,-75.72
2018-07-25 02:00:00,-3.95,,-0.35,-8.16,8.16,61.18,100.0,99.82,-76.15,-75.93
2018-07-25 08:00:00,-1.01,,2.74,-5.39,8.24,51.69,0.0,66.67,-75.44,-75.21
2018-07-25 14:00:00,-1.16,,2.58,-5.16,7.83,52.2,5.42,35.14,-75.48,-75.26
2018-07-25 20:00:00,-1.42,,2.25,-4.98,7.33,53.09,14.82,6.75,-75.56,-75.34
2018-07-26 02:00:00,-2.35,,1.46,-5.88,7.51,56.0,45.43,21.89,-75.82,-75.59
2018-07-26 08:00:00,-2.4,,1.54,-5.83,7.54,56.43,100.0,53.42,-75.85,-75.63
2018-07-26 14:00:00,-2.36,0.83,1.74,-5.84,7.74,56.6,100.0,81.81,-75.87,-75.64
2018-07-26 20:00:00,0.89,4.18,5.15,-2.63,7.69,45.66,0.0,66.67,-75.05,-74.82
2018-07-27 02:00:00,0.52,3.78,4.79,-2.97,7.7,46.8,10.35,36.78,-75.14,-74.91
2018-07-27 08:00:00,0.71,3.96,5.02,-2.79,7.73,46.14,4.4,4.92,-75.09,-74.86
2018-07-27 14:00:00,-0.13,3.06,4.15,-3.56,7.68,49.14,31.77,15.51,-75.3,-75.07
2018-07-27 20:00:00,-0.82,2.29,3.4,-3.99,7.41,51.64,100.0,45.39,-75.47,-75.25
2018-07-28 02:00:00,-0.76,2.3,3.46,-3.92,7.4,51.52,97.95,76.57,-75.47,-75.24
2018-07-28 08:00:00,-0.22,2.81,4.0,-3.28,7.26,49.48,60.65,86.2,-75.34,-75.11
2018-07-28 14:00:00,0.27,3.29,4.28,-2.26,6.47,47.55,0.0,52.87,-75.21,-74.99
2018-07-28 20:00:00,-0.56,2.39,2.92,-2.21,5.11,51.05,85.64,48.76,-75.42,-75.2
2018-07-29 02:00:00,0.12,3.07,3.59,-1.41,4.94,48.24,17.27,34.3,-75.25,-75.03
2018-07-29 08:00:00,0.45,3.4,3.87,-1.22,5.02,46.85,0.0,34.3,-75.17,-74.94
2018-07-29 14:00:00,0.21,3.12,3.51,-1.55,5.02,47.95,26.15,14.47,-75.23,-75.0
2018-07-29 20:00:00,-0.0,2.88,3.01,-1.74,4.72,48.95,50.0,25.38,-75.28,-75.05
2018-07-30 02:00:00,0.44,3.32,2.86,-1.09,3.91,46.81,0.0,25.38,-75.16,-74.93
2018-07-30 08:00:00,1.01,3.91,3.5,-0.67,4.12,44.09,0.0,16.67,-75.01,-74.78
2018-07-30 14:00:00,3.77,6.83,6.93,1.25,5.46,34.21,0.0,-0.0,-74.29,-74.06
2018-07-30 20:00:00,1.86,4.9,5.0,-0.82,5.7,42.8,58.27,19.42,-74.75,-74.51
2018-07-31 02:00:00,2.85,5.98,5.97,-0.13,5.92,39.43,41.41,33.23,-74.47,-74.24
2018-07-31 08:00:00,5.88,9.25,9.62,1.86,7.34,31.76,0.0,33.23,-73.66,-73.42
2018-07-31 14:00:00,6.74,10.33,10.99,1.73,8.7,29.68,0.0,13.8,-73.38,-73.13
2018-07-31 20:00:00,6.76,10.52,11.77,0.84,10.29,29.15,0.0,-0.0,-73.3,-73.06
2018-08-01 02:00:00,9.88,14.03,16.32,2.22,12.9,23.88,0.0,-0.0,-72.42,-72.17
2018-08-01 08:00:00,8.06,12.36,15.02,-0.37,14.34,29.6,72.67,24.22,-72.8,-72.55
2018-08-01 14:00:00,8.97,13.55,16.53,-0.5,15.76,27.68,65.57,46.08,-72.48,-72.22
2018-08-01 20:00:00,8.36,13.14,16.05,-1.75,16.61,28.72,84.57,74.27,-72.54,-72.29
2018-08-02 02:00:00,8.28,13.27,15.99,-2.39,17.22,28.3,77.22,75.79,-72.48,-72.23
2018-08-02 08:00:00,8.98,14.25,16.83,-2.38,17.92,26.56,0.0,53.93,-72.21,-71.95
2018-08-02 14:00:00,10.15,15.75,18.26,-2.08,18.82,24.24,0.0,25.74,-71.8,-71.54
2018-08-02 20:00:00,9.26,15.06,17.04,-3.28,19.02,26.45,49.39,16.46,-71.93,-71.67
2018-08-03 02:00:00,10.71,16.88,18.49,-2.58,19.51,23.71,0.0,16.46,-71.45,-71.19
2018-08-03 08:00:00,8.54,14.81,15.71,-4.66,19.3,31.15,100.0,49.8,-71.92,-71.66
2018-08-03 14:00:00,6.3,12.58,12.49,-6.42,18.36,38.46,100.0,66.67,-72.43,-72.18
2018-08-03 20:00:00,6.2,12.62,11.32,-6.12,16.99,38.12,97.68,99.23,-72.39,-72.14
2018-08-04 02:00:00,6.23,12.78,10.17,-5.58,15.39,37.47,93.26,96.98,-72.32,-72.07
2018-08-04 08:00:00,6.53,13.25,9.23,-4.69,13.61,36.12,67.97,86.3,-72.17,-71.92
2018-08-04 14:00:00,7.67,14.65,9.83,-3.46,12.88,32.89,0.0,53.74,-71.79,-71.53
2018-08-04 20:00:00,7.83,15.02,8.61,-2.54,10.83,31.89,0.0,22.66,-71.66,-71.4
2018-08-05 02:00:00,7.4,14.73,6.72,-1.98,8.49,32.48,10.65,3.55,-71.7,-71.44
2018-08-05 08:00:00,7.19,14.67,5.86,-1.73,7.44,32.3,9.8,6.82,-71.68,-71.42
2018-08-05 14:00:00,7.52,15.2,5.75,-1.1,6.7,30.77,0.0,6.82,-71.51,-71.25
2018-08-05 20:00:00,6.22,13.94,3.84,-1.74,5.52,36.12,100.0,36.6,-71.79,-71.53
2018-08-06 02:00:00,5.38,13.14,3.09,-2.34,5.41,39.18,100.0,66.67,-71.95,-71.69
2018-08-06 08:00:00,6.09,14.03,3.56,-1.4,4.91,36.29,65.68,88.56,-71.7,-71.44
2018-08-06 14:00:00,6.65,14.78,4.19,-0.8,4.9,33.98,38.13,67.94,-71.47,-71.21
2018-08-06 20:00:00,6.22,14.44,3.69,-1.02,4.65,34.93,18.38,40.73,-71.52,-71.26
2018-08-07 02:00:00,5.96,14.28,3.36,-1.05,4.36,35.01,19.82,25.44,-71.52,-71.26
2018-08-07 08:00:00,4.47,12.74,1.94,-2.25,4.2,42.24,100.0,46.07,-71.88,-71.62
2018-08-07 14:00:00,4.8,13.18,2.45,-1.77,4.21,40.27,76.12,65.31,-71.73,-71.47
2018-08-07 20:00:00,12.66,22.0,12.2,3.63,7.94,23.26,0.0,58.71,-69.48,-69.2
2018-08-08 02:00:00,13.53,23.3,14.79,2.93,10.89,21.72,0.0,25.37,-69.09,-68.81
2018-08-08 08:00:00,14.25,24.47,16.95,2.14,13.52,20.41,0.0,-0.0,-68.74,-68.45
2018-08-08 14:00:00,17.53,28.55,21.91,3.12,16.71,17.13,0.0,-0.0,-67.64,-67.34
2018-08-08 20:00:00,17.09,28.54,22.55,1.22,19.07,16.94,0.0,-0.0,-67.57,-67.27
2018-08-09 02:00:00,14.81,26.43,20.64,-1.62,20.33,22.84,100.0,33.33,-68.04,-67.74
2018-08-09 08:00:00,15.13,27.19,21.41,-2.19,21.53,21.89,83.97,61.32,-67.77,-67.48
2018-08-09 14:00:00,12.85,25.0,19.24,-4.6,22.21,27.97,100.0,94.66,-68.27,-67.97
2018-08-09 20:00:00,12.39,24.8,18.88,-5.37,22.72,27.92,99.5,94.49,-68.25,-67.96
2018-08-10 02:00:00,12.95,25.75,19.55,-5.3,23.19,26.42,74.46,91.32,-67.95,-67.65
2018-08-10 08:00:00,13.19,26.35,19.8,-5.46,23.57,25.38,57.34,77.1,-67.73,-67.43
2018-08-10 14:00:00,12.7,26.12,19.21,-6.15,23.8,25.34,0.0,43.93,-67.72,-67.42
2018-08-10 20:00:00,20.55,35.49,28.08,-0.91,25.52,17.21,0.0,19.11,-65.23,-64.91
2018-08-11 02:00:00,25.68,42.01,34.45,1.32,28.1,14.13,0.0,-0.0,-63.45,-63.11
2018-08-11 08:00:00,24.96,41.93,34.23,-0.84,30.06,14.0,0.0,-0.0,-63.36,-63.02
2018-08-11 14:00:00,19.75,36.55,28.31,-5.54,30.39,25.0,97.03,32.34,-64.65,-64.33
